axis,param,value,seed,n_steps,n_cancer,n_genes,shannon,n_subclones,tmb,tmb_frac,driver_enrichment,clone_confinement,fga,mean_ploidy,hypoxia_contrast,deme_occupancy,vaf_1f_rsq,program_within_clone_frac,degenerate,flags
initial_cancer_cells,initial_cancer_cells,1.0,2,1600,206,1000,4.7910604076787635,15,13.728155339805825,0.013728155339805825,0.29576654155394133,0.7051134360745892,0.8203883495145634,1.8650485436893223,,3.5517241379310347,0.8404695783939351,,False,
initial_cancer_cells,initial_cancer_cells,2.0,0,1600,0,1000,0.0,0,0.0,0.0,,,,,,,,,True,extinct
initial_cancer_cells,initial_cancer_cells,2.0,1,1600,207,1000,4.798496345010161,15,13.681159420289855,0.013681159420289855,0.29544490238583737,0.7051134360745892,0.8202898550724641,1.863768115942031,,3.5689655172413794,0.8497862967715631,,False,
initial_cancer_cells,initial_cancer_cells,2.0,2,1600,291,1000,4.766872049330086,22,22.347079037800686,0.022347079037800685,0.7985706094854694,0.5779121571623514,0.5945017182130587,1.772508591065292,,3.730769230769231,0.827552893243426,,False,
initial_cancer_cells,initial_cancer_cells,5.0,0,1600,242,1000,4.982224608679342,14,8.636363636363637,0.008636363636363636,0.7735774264846937,0.6238078185471507,0.7842975206611573,1.9818181818181817,,4.172413793103448,0.9212315315008738,,False,
initial_cancer_cells,initial_cancer_cells,5.0,1,1600,250,1000,4.971673366686764,18,15.172,0.015172000000000001,0.7297925229220377,0.678863450595722,0.4264000000000002,1.9304000000000012,,4.032258064516129,0.8349571986289434,,False,
initial_cancer_cells,initial_cancer_cells,5.0,2,1600,272,1000,5.105874592059583,19,22.71323529411765,0.02271323529411765,1.2405940231653692,0.7334618256488641,0.408823529411765,2.313235294117649,,4.25,0.8005430524521316,,False,
initial_cancer_cells,initial_cancer_cells,10.0,0,1600,223,1000,4.968100701966078,13,21.46188340807175,0.021461883408071748,0.6229191712967944,0.7239559321642732,0.45919282511210785,1.7130044843049332,,3.596774193548387,0.8188815515182382,,False,
initial_cancer_cells,initial_cancer_cells,10.0,1,1600,171,1000,4.834512458729918,22,12.47953216374269,0.01247953216374269,1.5151035193981677,0.7492442112312061,0.5169590643274856,1.6923976608187143,,4.170731707317073,0.8524497916521271,,False,
initial_cancer_cells,initial_cancer_cells,10.0,2,1600,249,1000,5.062870203668614,12,17.955823293172692,0.017955823293172694,1.0693195451677728,0.6435666246072307,0.3751004016064261,2.024899598393573,,4.016129032258065,0.691919207583479,,False,
initial_cancer_cells,initial_cancer_cells,20.0,0,1600,223,1000,4.968100701966078,13,21.46188340807175,0.021461883408071748,0.6229191712967944,0.7239559321642732,0.45919282511210785,1.7130044843049332,,3.596774193548387,0.8188815515182382,,False,
initial_cancer_cells,initial_cancer_cells,20.0,1,1600,171,1000,4.834512458729918,22,12.47953216374269,0.01247953216374269,1.5151035193981677,0.7492442112312061,0.5169590643274856,1.6923976608187143,,4.170731707317073,0.8524497916521271,,False,
initial_cancer_cells,initial_cancer_cells,20.0,2,1600,249,1000,5.062870203668614,12,17.955823293172692,0.017955823293172694,1.0693195451677728,0.6435666246072307,0.3751004016064261,2.024899598393573,,4.016129032258065,0.691919207583479,,False,
dispersal_rate,dispersal_rate,0.05,0,1800,324,1000,5.375019781938633,8,13.271604938271604,0.013271604938271604,1.8737721867038521,0.7169650197863735,0.6469135802469141,1.7172839506172843,,5.225806451612903,0.9233233926735327,,False,
dispersal_rate,dispersal_rate,0.05,1,1800,294,1000,5.240782406765179,18,16.360544217687075,0.016360544217687074,1.3583280153347432,0.7234984878973604,0.5482993197278914,1.8795918367346944,,4.59375,0.7154474808277239,,False,
dispersal_rate,dispersal_rate,0.05,2,1800,243,1000,5.170466797906964,7,11.353909465020577,0.011353909465020576,1.3681970001098784,0.5756674093012184,0.5349794238683125,1.9670781893004112,,4.673076923076923,0.9328165486571072,,False,
dispersal_rate,dispersal_rate,0.1,0,1800,362,1000,5.103645264295463,18,8.930939226519337,0.008930939226519337,1.7857911601150436,0.6423676613762,0.6867403314917131,1.4458563535911595,,4.7631578947368425,0.8756219964609635,,False,
dispersal_rate,dispersal_rate,0.1,1,1800,310,1000,5.091570499115152,10,13.09032258064516,0.01309032258064516,0.31411076538184785,0.6220732905213681,0.39548387096774207,1.7587096774193554,,4.769230769230769,0.8918672891756732,,False,
dispersal_rate,dispersal_rate,0.1,2,1800,340,1000,5.108907302170072,17,11.029411764705882,0.011029411764705883,1.2097318589561965,0.6480046103529127,0.3882352941176471,2.0411764705882356,,4.788732394366197,0.7432699894058661,,False,
dispersal_rate,dispersal_rate,0.3,0,1800,386,1000,4.709972362194087,27,14.05440414507772,0.01405440414507772,0.6799024504479254,0.6357879273842613,0.17772020725388626,1.9264248704663207,,4.288888888888889,0.4792910512926637,,False,
dispersal_rate,dispersal_rate,0.3,1,1800,380,1000,4.94316809451279,21,4.081578947368421,0.004081578947368421,0.6842657334770825,0.6423670649711157,0.2400000000000005,2.0068421052631584,,4.634146341463414,,,False,
dispersal_rate,dispersal_rate,0.3,2,1800,416,1000,4.843523182509058,13,4.3173076923076925,0.004317307692307692,0.9944284531755542,0.6173816668056287,0.35432692307692304,1.9802884615384617,,4.7272727272727275,0.8077385609834061,,False,
dispersal_rate,dispersal_rate,1.0,0,1800,454,1000,3.4336715792048462,14,5.447136563876652,0.005447136563876652,1.5015787347221168,0.42279701420042237,0.09867841409691634,2.057709251101322,,4.365384615384615,0.4998006088914594,,False,
dispersal_rate,dispersal_rate,1.0,1,1800,468,1000,3.8021708676050276,17,7.805555555555555,0.007805555555555555,0.9887971588014804,0.4406253637928551,0.10726495726495727,1.9965811965811964,,4.7272727272727275,0.8975943518466025,,False,
dispersal_rate,dispersal_rate,1.0,2,1800,422,1000,3.5859235256399846,16,7.329383886255924,0.007329383886255924,1.523294898556142,0.2995107240761916,0.13270142180094793,2.0383886255924173,,4.442105263157894,0.6163340237761407,,False,
